config_name,hidden_dim_1,hidden_dim_2,total_hidden_neurons,learning_rate,num_epochs,mean_acc,std_acc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
cfg_01,3,2,5,0.01,300,0.8463952098676204,0.013949069290534867,0.7481824230410272,0.04539147930587002,0.8054135683263521,0.060547044170252556,0.7700573263130118,0.04537181260976907
cfg_02,4,2,6,0.005,300,0.8374604504953622,0.014446475266564457,0.7363734261337889,0.05504200908889396,0.7892119338556743,0.04919686008984261,0.7575971318160659,0.04614131047017646
cfg_03,4,3,7,0.01,300,0.8662282387925837,0.011805261928750373,0.7674212169152295,0.045918061400987684,0.840477145689013,0.047810673511093214,0.7995365488514949,0.04424736758010146
cfg_04,5,3,8,0.005,350,0.8733621704933594,0.0037264103698867288,0.8045299412838226,0.016335590717323878,0.8315015393116145,0.02533658044256813,0.8151696799166338,0.007138397257278913
cfg_05,5,4,9,0.001,350,0.7545646452354468,0.01880851836215957,0.5835491991467396,0.09283796418378722,0.5562151697499362,0.09330688065604056,0.5675868630085361,0.09113989500112624
cfg_06,6,4,10,0.0005,400,0.7243618417758582,0.030540259335220272,0.5383312821694227,0.13941883407565184,0.4820131527423149,0.09469106033083456,0.4923834691544792,0.10782403158776882
cfg_07,7,4,11,0.01,400,0.9054234469186543,0.007518669168811281,0.8467175774962044,0.02097883943806417,0.8847956212305785,0.023030799996654253,0.863098252112,0.01062527988043791
cfg_08,8,4,12,0.0005,450,0.7405711194463613,0.024231497470749857,0.5555290866676901,0.10395070638066678,0.5005835342996461,0.10197769532817769,0.516475819161402,0.11201878225812513
cfg_09,8,5,13,0.001,450,0.8088245628166083,0.0074795322671924,0.7148987854446406,0.012103605398903162,0.721879063763936,0.016213467826039583,0.7172081563742517,0.011514378936942179
cfg_10,10,5,15,0.005,500,0.9190032893519475,0.005616712901404901,0.8661986829199009,0.014252475908004035,0.9017530839153853,0.01012052463035024,0.8826847647647907,0.007434228834543558
